pin_name,port,pin_number,mode,pull,speed,alternate_function,initial_state,description,subsystem
GPIO3V_1,GPIOB,12,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 1,GPIO
GPIO3V_2,GPIOB,13,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 2,GPIO
GPIO3V_3,GPIOB,14,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 3,GPIO
GPIO3V_4,GPIOB,15,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 4,GPIO

# ========== PORT C PINS ==========
LDAC_2,GPIOC,0,OUTPUT_PP,NOPULL,HIGH,,0,DAC load control 2,DAC
GPIO5V_8,GPIOC,4,INPUT,NOPULL,HIGH,,0,5V GPIO input 8,GPIO
GPIO5V_7,GPIOC,5,INPUT,NOPULL,HIGH,,0,5V GPIO input 7,GPIO
PWM_8,GPIOC,6,AF_PP,NOPULL,HIGH,TIM8,,PWM output 8,PWM
PWM_9,GPIOC,7,AF_PP,NOPULL,HIGH,TIM8,,PWM output 9,PWM
PWM_10,GPIOC,8,AF_PP,NOPULL,HIGH,TIM8,,PWM output 10,PWM
GPIO3V_13,GPIOC,9,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 13,GPIO
GPIO3V_5,GPIOC,10,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 5,GPIO
GPIO3V_6,GPIOC,11,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 6,GPIO
GPIO3V_7,GPIOC,12,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 7,GPIO
GPIO3V_8,GPIOC,13,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 8,GPIO
GPIO3V_9,GPIOC,14,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 9,GPIO
GPIO3V_10,GPIOC,15,INPUT,NOPULL,HIGH,,0,3.3V GPIO input 10,GPIO

# ========== PORT D PINS ==========
I2C2_SDA,GPIOD,0,AF_OD,NOPULL,VERY_HIGH,I2C2,,I2C2 data,COMMUNICATION
I2C2_SCL,GPIOD,1,AF_OD,NOPULL,VERY_HIGH,I2C2,,I2C2 clock,COMMUNICATION

# ========== PORT E PINS ==========
SPI4_SCK,GPIOE,2,AF_PP,NOPULL,VERY_HIGH,SPI4,,SPI4 clock,COMMUNICATION
SPI4_NSS,GPIOE,4,AF_PP,NOPULL,VERY_HIGH,SPI4,,SPI4 chip select,COMMUNICATION
SPI4_MISO,GPIOE,5,AF_PP,NOPULL,VERY_HIGH,SPI4,,SPI4 master in slave out,COMMUNICATION
SPI4_MOSI,GPIOE,6,AF_PP,NOPULL,VERY_HIGH,SPI4,,SPI4 master out slave in,COMMUNICATION
UART7_RX,GPIOE,7,AF_PP,PULLUP,VERY_HIGH,UART7,,UART7 receive,COMMUNICATION
UART7_TX,GPIOE,8,AF_PP,NOPULL,VERY_HIGH,UART7,,UART7 transmit,COMMUNICATION
GPIO12V_11,GPIOE,9,INPUT,NOPULL,HIGH,,0,12V GPIO input 11,GPIO
GPIO12V_12,GPIOE,10,INPUT,NOPULL,HIGH,,0,12V GPIO input 12,GPIO
GPIO12V_13,GPIOE,11,INPUT,NOPULL,HIGH,,0,12V GPIO input 13,GPIO
GPIO12V_14,GPIOE,12,INPUT,NOPULL,HIGH,,0,12V GPIO input 14,GPIO
GPIO12V_15,GPIOE,13,INPUT,NOPULL,HIGH,,0,12V GPIO input 15,GPIO
GPIO12V_16,GPIOE,14,INPUT,NOPULL,HIGH,,0,12V GPIO input 16,GPIO
GPIO12V_17,GPIOE,15,INPUT,NOPULL,HIGH,,0,12V GPIO input 17,GPIO

# ========== PORT F PINS ==========
I2C2_SDA,GPIOF,0,AF_OD,NOPULL,VERY_HIGH,I2C2,,I2C2 data (alternate),COMMUNICATION
I2C2_SCL,GPIOF,1,AF_OD,NOPULL,VERY_HIGH,I2C2,,I2C2 clock (alternate),COMMUNICATION
SPI5_NSS,GPIOF,6,AF_PP,NOPULL,VERY_HIGH,SPI5,,SPI5 chip select,COMMUNICATION
SPI5_SCK,GPIOF,7,AF_PP,NOPULL,VERY_HIGH,SPI5,,SPI5 clock,COMMUNICATION
SPI5_MISO,GPIOF,8,AF_PP,NOPULL,VERY_HIGH,SPI5,,SPI5 master in slave out,COMMUNICATION
SPI5_MOSI,GPIOF,9,AF_PP,NOPULL,VERY_HIGH,SPI5,,SPI5 master out slave in,COMMUNICATION
LDAC_1,GPIOF,10,OUTPUT_PP,NOPULL,HIGH,,0,DAC load control 1,DAC
GPIO12V_6,GPIOF,11,INPUT,NOPULL,HIGH,,0,12V GPIO input 6,GPIO
GPIO12V_5,GPIOF,12,INPUT,NOPULL,HIGH,,0,12V GPIO input 5,GPIO
GPIO12V_4,GPIOF,13,INPUT,NOPULL,HIGH,,0,12V GPIO input 4,GPIO
GPIO12V_3,GPIOF,14,INPUT,NOPULL,HIGH,,0,12V GPIO input 3,GPIO
GPIO12V_2,GPIOF,15,INPUT,NOPULL,HIGH,,0,12V GPIO input 2,GPIO

# ========== PORT G PINS ==========
GPIO12V_1,GPIOG,0,INPUT,NOPULL,HIGH,,0,12V GPIO input 1,GPIO
GPIO12V_10,GPIOG,1,INPUT,NOPULL,HIGH,,0,12V GPIO input 10,GPIO
PWM_1,GPIOG,2,AF_PP,NOPULL,HIGH,TIM3,,PWM output 1,PWM
PWM_2,GPIOG,3,AF_PP,NOPULL,HIGH,TIM3,,PWM output 2,PWM
PWM_3,GPIOG,4,AF_PP,NOPULL,HIGH,TIM3,,PWM output 3,PWM
PWM_4,GPIOG,5,AF_PP,NOPULL,HIGH,TIM3,,PWM output 4,PWM
PWM_5,GPIOG,6,AF_PP,NOPULL,HIGH,TIM3,,PWM output 5,PWM
PWM_6,GPIOG,7,AF_PP,NOPULL,HIGH,TIM3,,PWM output 6,PWM
PWM_7,GPIOG,8,AF_PP,NOPULL,HIGH,TIM3,,PWM output 7,PWM
I2C3_SDA,GPIOG,9,AF_OD,NOPULL,VERY_HIGH,I2C3,,I2C3 data,COMMUNICATION
GPIO12V_18,GPIOG,10,INPUT,NOPULL,HIGH,,0,12V GPIO input 18,GPIO
GPIO12V_19,GPIOG,11,INPUT,NOPULL,HIGH,,0,12V GPIO input 19,GPIO
GPIO12V_20,GPIOG,12,INPUT,NOPULL,HIGH,,0,12V GPIO input 20,GPIO
GPIO12V_21,GPIOG,13,INPUT,NOPULL,HIGH,,0,12V GPIO input 21,GPIO
UARTMCU2DEBUG,GPIOG,14,AF_PP,NOPULL,VERY_HIGH,USART6,,UART MCU to debug,DEBUG
UARTDEBUG2MCU,GPIOG,15,AF_PP,PULLUP,VERY_HIGH,USART6,,UART debug to MCU,DEBUG

# ========== PORT H PINS ==========
OSC_OUT,GPIOH,0,AF_PP,NOPULL,VERY_HIGH,RCC_OSC,,Oscillator output,SYSTEM
OSC_IN,GPIOH,1,AF_PP,NOPULL,VERY_HIGH,RCC_OSC,,Oscillator input,SYSTEM
I2C3_SCL,GPIOH,7,AF_OD,NOPULL,VERY_HIGH,I2C3,,I2C3 clock,COMMUNICATION
I2C3_SDA,GPIOH,8,AF_OD,NOPULL,VERY_HIGH,I2C3,,I2C3 data (alternate),COMMUNICATION

# ========== PORT I PINS ==========
GPIO5V_2,GPIOI,0,INPUT,NOPULL,HIGH,,0,5V GPIO input 2,GPIO
GPIO5V_1,GPIOI,1,INPUT,NOPULL,HIGH,,0,5V GPIO input 1,GPIO
GPIO12V_9,GPIOI,2,INPUT,NOPULL,HIGH,,0,12V GPIO input 9,GPIO
GPIO12V_8,GPIOI,3,INPUT,NOPULL,HIGH,,0,12V GPIO input 8,GPIO
GPIO12V_7,GPIOI,4,INPUT,NOPULL,HIGH,,0,12V GPIO input 7,GPIO
LDAC_4,GPIOI,7,OUTPUT_PP,NOPULL,HIGH,,0,DAC load control 4,DAC
GPIO5V_3,GPIOI,15,INPUT,NOPULL,HIGH,,0,5V GPIO input 3,GPIO

# ========== DSI (DISPLAY SERIAL INTERFACE) PINS ==========


# ========== DISPLAY CONTROL PINS ==========
PDR_ON,GPIOD,6,OUTPUT_PP,NOPULL,HIGH,,0,Display power on control,DISPLAY
BOOT,GPIOD,7,INPUT,PULLDOWN,HIGH,,0,Boot mode selection,SYSTEM
NRST,GPIOD,8,INPUT,PULLUP,HIGH,,0,Reset input (active low),SYSTEM
RESET,GPIOD,9,OUTPUT_PP,NOPULL,HIGH,,1,Reset output control,SYSTEM
VCAP1,GPIOD,10,ANALOG,NOPULL,HIGH,,0,Voltage regulator capacitor 1,POWER
VCAP2,GPIOD,11,ANALOG,NOPULL,HIGH,,0,Voltage regulator capacitor 2,POWER
VCAPDSI,GPIOD,12,ANALOG,NOPULL,HIGH,,0,DSI voltage regulator capacitor,POWER

# ========== POWER PINS ==========
VREF_PLUS,POWER,41,ANALOG,NOPULL,HIGH,,0,Voltage reference positive,POWER
VBAT,POWER,6,ANALOG,NOPULL,HIGH,,0,Battery backup voltage,POWER
VDDUSB,POWER,137,ANALOG,NOPULL,HIGH,,0,USB power supply,POWER
VDDDSI,POWER,118,ANALOG,NOPULL,HIGH,,0,DSI power supply,POWER
VDD12DSI,POWER,125,ANALOG,NOPULL,HIGH,,0,DSI 1.2V power supply,POWER
VDDSDMMC,POWER,171,ANALOG,NOPULL,HIGH,,0,SDMMC power supply,POWER
VDD,POWER,15,ANALOG,NOPULL,HIGH,,0,Core power supply pin 1,POWER
VDD,POWER,26,ANALOG,NOPULL,HIGH,,0,Core power supply pin 2,POWER
VDD,POWER,39,ANALOG,NOPULL,HIGH,,0,Core power supply pin 3,POWER
VDD,POWER,52,ANALOG,NOPULL,HIGH,,0,Core power supply pin 4,POWER
VDD,POWER,59,ANALOG,NOPULL,HIGH,,0,Core power supply pin 5,POWER
VDD,POWER,73,ANALOG,NOPULL,HIGH,,0,Core power supply pin 6,POWER
VDD,POWER,83,ANALOG,NOPULL,HIGH,,0,Core power supply pin 7,POWER
VDD,POWER,94,ANALOG,NOPULL,HIGH,,0,Core power supply pin 8,POWER
VDD,POWER,103,ANALOG,NOPULL,HIGH,,0,Core power supply pin 9,POWER
VDD,POWER,115,ANALOG,NOPULL,HIGH,,0,Core power supply pin 10,POWER
VDD,POWER,150,ANALOG,NOPULL,HIGH,,0,Core power supply pin 11,POWER
VDD,POWER,158,ANALOG,NOPULL,HIGH,,0,Core power supply pin 12,POWER
VDD,POWER,185,ANALOG,NOPULL,HIGH,,0,Core power supply pin 13,POWER
VDD,POWER,204,ANALOG,NOPULL,HIGH,,0,Core power supply pin 14,POWER
VDDA,POWER,42,ANALOG,NOPULL,HIGH,,0,Analog power supply,POWER
VSSDSI,POWER,122,ANALOG,NOPULL,HIGH,,0,DSI ground pin 1,POWER
VSSDSI,POWER,128,ANALOG,NOPULL,HIGH,,0,DSI ground pin 2,POWER
VSS,POWER,14,ANALOG,NOPULL,HIGH,,0,Ground pin 1,POWER
VSS,POWER,25,ANALOG,NOPULL,HIGH,,0,Ground pin 2,POWER
VSS,POWER,51,ANALOG,NOPULL,HIGH,,0,Ground pin 3,POWER
VSS,POWER,60,ANALOG,NOPULL,HIGH,,0,Ground pin 4,POWER
VSS,POWER,72,ANALOG,NOPULL,HIGH,,0,Ground pin 5,POWER
VSS,POWER,82,ANALOG,NOPULL,HIGH,,0,Ground pin 6,POWER
VSS,POWER,93,ANALOG,NOPULL,HIGH,,0,Ground pin 7,POWER
VSS,POWER,114,ANALOG,NOPULL,HIGH,,0,Ground pin 8,POWER
VSS,POWER,136,ANALOG,NOPULL,HIGH,,0,Ground pin 9,POWER
VSS,POWER,149,ANALOG,NOPULL,HIGH,,0,Ground pin 10,POWER
VSS,POWER,170,ANALOG,NOPULL,HIGH,,0,Ground pin 11,POWER
VSS,POWER,184,ANALOG,NOPULL,HIGH,,0,Ground pin 12,POWER
VSS,POWER,202,ANALOG,NOPULL,HIGH,,0,Ground pin 13,POWER
VSSA,POWER,40,ANALOG,NOPULL,HIGH,,0,Analog ground,POWER

# ========== NOTES ==========
# This configuration is based on the STM32F769BIT6 schematic
# All GPIO pins are configured as inputs by default for HIL testing
# PWM outputs use timer alternate functions
# Communication interfaces (CAN, UART, I2C, SPI) use appropriate AF modes
# DAC control pins are outputs for analog signal generation
# Debug pins (SWDIO, SWCLK, SWO) are configured for debugging
